dorsal;biker;club;time
812;Lori Foley;Katalino trapagara ;04:34:08
2626;Kimberly Hendrix;Independiente;04:34:09
658;Dr. Billy Jackson;UCO;04:34:15
2704;Richard Li;Independiente;04:34:27
2747;David Adams;Independiente;04:34:28
1609;Annette Williams;C.c Dominriders Mozarrifar ;04:34:35
388;Paul Anderson;Independiente;04:34:38
1445;Cassandra Walker;CLUB CICLISTA SENA ;04:34:45
1474;Thomas Callahan;Club ciclista sariñena ;04:34:46
2819;Daniel Burnett;B&R;04:34:48
892;Stacy Fuller;Independiente;04:34:50
4405;Jessica Rodriguez;TRIBOOST ;04:34:51
414;Desiree Williams;Independiente;04:34:54
3870;Jeffrey Fischer;Independiente;04:34:54
1272;Christopher Lozano;Independiente;04:34:57
3431;Jennifer Fuller;CCACTUR;04:35:00
709;Kimberly Robinson;Cc turiaso ;04:35:22
4408;Teresa Owens;Ermuko txirrindulari elkartea;04:35:23
3878;Anthony Smith;Zarautzko zikloturista elkartea;04:35:24
3008;Jeffrey Hamilton;Independiente;04:35:26
3879;Ricardo Lopez;zarauzko zikloturista elkartea ;04:35:27
2241;Mrs. Alicia Ryan;Club ciclista Montcada ;04:35:31
2278;Paul Mills;Independiente;04:35:39
2686;Theresa Smith;Independiente;04:35:43
797;Anthony Dalton;Independiente;04:35:59
719;Kenneth Hart;Independiente;04:36:00
5363;Christina Silva;Independiente;04:36:02
2033;Robert Huerta;Zébra Factory;04:36:03
1993;Jerry Wilson;Independiente;04:36:03
1235;Danny White;Independiente;04:36:06
2102;David Adams;Independiente;04:36:06
1460;Michael Murphy;Independiente;04:36:16
1441;Stacie Wright;CLUB Ciclista Sariñena ;04:36:35
4149;Anne Collins;Independiente;04:36:37
2741;Tracy Morgan;CC Tarazona;04:36:55
2861;Jerry Thomas;Independiente;04:37:04
239;Sarah Reeves;Independiente;04:37:05
651;Amanda Perez;Roubaix;04:37:08
4044;Dawn Clark;Independiente;04:37:14
495;Kelsey Scott;Independiente;04:37:24
4150;Ryan Ali;Independiente;04:37:35
610;Mr. Joseph Cook MD;BTT EJEA ;04:37:38
1679;Jennifer Boyer;CLUB Ciclista Caspolino;04:37:39
2140;Margaret Bishop;C.C Medina ;04:37:43
2145;Frederick Strickland;Independiente;04:37:43
444;Christian Martinez;CC VILASECA i PENYA CICLOTURISTA CAMBRILS;04:37:44
1250;Amanda Smith;S.c. llodiana;04:37:46
125;Adam Davis;Independiente;04:37:47
1518;Lisa Palmer;Independiente;04:37:51
980;Leah Hicks;F2 ;04:38:02
5416;Brittany Ruiz;Independiente;04:38:13
538;Michael Boyd;Independiente;04:38:23
3956;Dana Lee;Paquetes de Arroyomolinos;04:38:25
542;William Woods;CLUB CICLISTA CUARTE ;04:38:29
951;Miss Elizabeth White;Independiente;04:38:30
577;Marcia Mercer;CLUB ciclista cuarte de huerva ;04:38:31
422;Kaitlyn Baker;Independiente;04:38:34
1452;Anthony Harris;Club Ciclista Sariñena ;04:38:35
5;David Pennington;CLUB CICLISTA SARIÑENA ;04:38:38
2442;Emily Reilly;Independiente;04:38:41
4246;Tonya Garcia;Independiente;04:38:50
1057;Matthew Stone;Independiente;04:38:51
631;Michelle Smith;Independiente;04:38:52
357;Mary Smith;Independiente;04:38:59
1983;Michelle Cox;E.C Baix Camp;04:39:00
2795;Kevin Bryant;Trotabike;04:39:26
773;Susan Cuevas;Independiente;04:39:34
2665;Mrs. Danielle Adkins;CLUB CICLISTA SANT JOAN DESPÍ;04:39:34
1060;Holly Willis;Independiente;04:39:34
437;Wendy Tanner;Independiente;04:39:35
528;Johnathan Thomas DDS;Independiente;04:39:35
2523;Megan Bishop;SERMA;04:39:36
2586;Sandra Oliver;Independiente;04:39:36
2258;Justin Ware;Independiente;04:39:44
1952;Rebecca Hicks;Independiente;04:39:44
2466;Elizabeth Atkinson;Independiente;04:39:45
1791;Cynthia Pittman;CC CAMPLLONG ;04:39:54
2871;Todd Becker;BICILOKURA ;04:39:56
3418;William Schultz;Independiente;04:39:58
763;Gregory Myers;Turiaso;04:40:00
1510;Eric Berry;Independiente;04:40:07
1862;Joseph Williamson;TORREGROSSA;04:40:08
2112;Alejandro Stanley;Royal Lleida ;04:40:15
2220;William Morales;Tu Pedala;04:40:21
2851;Donald Stevens MD;Independiente;04:40:27
2276;Eric Parks;Independiente;04:40:31
2757;Erin Clark;Independiente;04:40:33
381;Julia Hartman;Independiente;04:40:42
2376;Barbara Lee;CLUB ESCALADA I MUNTANYA PARDINYESP;04:40:44
4134;Joseph Lopez;Independiente;04:40:52
717;Nicole Adkins;CLUB CLEMBUTEROLES BTT ;04:40:59
2382;Howard Medina;Independiente;04:41:02
1068;Mark Watts;Independiente;04:41:06
2760;Shelby Leon;Basoa Dream Team ;04:41:16
363;Benjamin Simpson;Independiente;04:41:19
4037;Anthony Smith;Independiente;04:41:20
3233;Amy Baker;ICC;04:41:22
1637;Veronica Beck;Independiente;04:41:22
2316;Christopher Hamilton;Atalayabikers CLUB deportivo ;04:41:24
3993;Steven Davis;Club btt alcanar ;04:41:29
2856;Laurie Jones;club triatló Blanes;04:41:30
2275;Gina Barnett;A.C.Collblanc;04:41:30
1239;James Evans;Independiente;04:41:37
1237;Wendy Blevins;Independiente;04:41:37
2624;David Singh;Independiente;04:41:39
5549;Teresa Welch;Independiente;04:41:40
4080;Brandon Williams;3COMSQUAD;04:41:42
2160;Daniel Carpenter;Independiente;04:41:43
3063;Ryan Johnson;Independiente;04:41:51
3064;Paul Nunez;Independiente;04:41:51
865;Shawn Moore;Independiente;04:41:52
3923;Cynthia Morrison;Independiente;04:41:54
485;Alejandro Miller;Independiente;04:41:56
3982;Tina Marshall;CLUB BTT La Canonja;04:42:03
703;Kenneth Fernandez;Independiente;04:42:10
4777;Ashley Dyer;Independiente;04:42:14
536;Larry Anderson DVM;Independiente;04:42:24
3708;Marc Cook;Independiente;04:42:27
897;Fred Holmes;El Pedal Aragonés;04:42:29
1811;Laura Perez;Independiente;04:42:30
2164;Kristin Woodard;BTT Besalú Desfrenats;04:42:37
2808;Joseph Davis;Independiente;04:42:37
2368;Christopher Price;MTB Pozo de Almoguera;04:42:38
4349;John Adkins;Independiente;04:42:41
1942;Brian Jones;Independiente;04:42:41
784;Christy Daniels;Club ciclista Fraga;04:42:43
3523;Thomas Hanson;Independiente;04:42:48
1927;Tonya Flowers;Independiente;04:42:49
5285;Angelica Simmons;Independiente;04:42:50
3885;Felicia Peterson;Independiente;04:42:52
518;Nicholas Lewis;BTT BERRELLEN;04:42:52
5305;Monica Williamson;Independiente;04:42:53
2356;Kristine King;Independiente;04:42:55
1519;Tristan Bryant;Independiente;04:42:58
1691;Robert Parker;CC Dominriders Mozarrifar;04:43:03
692;Larry Hill;Independiente;04:43:15
775;Bob Roberts;Independiente;04:43:16
632;Jessica Warren;Independiente;04:43:18
595;David Davis;Independiente;04:43:19
2100;Arthur Mendez;Elorrioko banan banan ZK* E;04:43:29
936;Michael Martin;CCBAÑOLAS;04:43:33
941;Melissa Bell;Independiente;04:43:33
2471;Anna Martinez;Independiente;04:43:34
3897;Chelsey Davenport;CC Actur ;04:43:36
1682;Marilyn Lawson;Independiente;04:43:36
2513;Christopher Christensen;Independiente;04:43:38
1231;Daniel Mahoney;BTTSORDS ;04:43:38
4140;Brendan Smith;Independiente;04:43:47
476;Michael Scott;Independiente;04:43:48
2562;Lisa Sanders;Club Ciclista Sástago;04:43:52
3068;Kathleen Turner;Independiente;04:43:53
4111;Caroline Bowers;Independiente;04:43:54
2715;Jessica Tucker;PC MUNDO ;04:43:58
1900;Brian Barton;Black & Greens ;04:44:04
1630;Lucas Johnson;Independiente;04:44:04
3909;Eric Cook;Independiente;04:44:08
733;Joseph Wilson;Independiente;04:44:10
2338;Lisa Gonzales;Club Ciclista Híjar;04:44:15
4051;Donald Jones;Club Triathlon ALOHA ;04:44:15
835;Jamie Gould;Independiente;04:44:15
659;Charles Kirk;C.C. Tarazona;04:44:17
2831;Paige Farrell;Independiente;04:44:25
2810;Robert Hamilton;Open Natura;04:44:39
256;Mackenzie Jones;Penya Ciclista Mundo ;04:44:45
5197;Karen Armstrong;Independiente;04:44:47
2051;Ralph Frazier;Independiente;04:44:51
1058;Charles Jordan;Independiente;04:44:51
605;Jessica Gonzalez;Independiente;04:44:52
669;Brian Gibbs;Independiente;04:44:54
2230;Eric Robbins;Independiente;04:44:55
1664;Lisa Lindsey;Independiente;04:45:00
3737;Megan Brooks;Independiente;04:45:04
2023;Lauren Erickson;Team Xerta ;04:45:08
2671;Douglas Huber;Independiente;04:45:10
346;Andrew Taylor;Independiente;04:45:10
443;Stanley Bowers;F2/ALJU;04:45:11
590;Emily Johnson;Independiente;04:45:12
2809;Rebecca Floyd;Independiente;04:45:12
1089;Kenneth Cherry;Independiente;04:45:16
1091;Jesus Campbell;Independiente;04:45:18
4272;Dylan Barnes;Independiente;04:45:20
11;Connie Harrison;Independiente;04:45:23
3824;Anna Harper;Independiente;04:45:35
1042;Dr. Lindsey Ward;Independiente;04:45:37
2883;Todd Roberts;Independiente;04:45:38
2563;Alexander Woodard;Independiente;04:45:43
982;Julie Barron;Independiente;04:45:43
2564;Nicholas Buckley;Independiente;04:45:44
841;Megan Garcia;CC TUBULAR ;04:45:49
4430;Jonathon Smith;Zarauztarra TXE;04:45:55
1459;Joann Rogers;CLUB ciclista sigenense;04:45:58
1036;Mary Green;CC ACTUR ;04:45:59
344;Christine Miller;Club Ciclista Turiaso;04:46:06
321;Adam Mccann;Club Ciclista Turiaso;04:46:06
2789;Barbara Crawford;La báscula ;04:46:07
1444;Kristi Ramos;Club Ciclista Sena ;04:46:10
1418;Charles Solomon;Independiente;04:46:11
2817;Charles Hunter;Independiente;04:46:15
1466;Sara Jimenez;CLUB Ciclista Sijenense;04:46:19
1541;Stephen Patterson;Independiente;04:46:25
1908;Katie Beck;Independiente;04:46:31
2421;Elizabeth Brooks;Independiente;04:46:36
913;Alejandro Reyes;Independiente;04:46:38
2735;Raymond Whitehead;Independiente;04:46:46
5123;Brandi Cabrera;Independiente;04:46:47
3791;Mark Lopez;Independiente;04:46:49
3823;Stacey Moore;Independiente;04:47:03
1988;Tanya Turner;Cicles fandos;04:47:04
5125;Stephanie Griffin;Independiente;04:47:04
3237;Courtney Prince;Independiente;04:47:05
3847;Matthew Vance;NORMADUVALMOUNTAINCLÚ;04:47:08
589;Allison Warner;ciclosport ;04:47:10
300;Stephen Stout;Independiente;04:47:12
633;Jeffrey Williams;cavall bernat;04:47:22
3448;Calvin Marsh;Independiente;04:47:32
2236;Jerome Pierce;CLUB BTT DE LA VALLDIGNA ;04:47:45
3910;Amanda Bowen;Independiente;04:47:49
1162;Michael Lloyd;Independiente;04:47:53
729;John Collins;CLUB CICLISTA JUBIERRE ;04:47:59
4193;Terry Sanders;Independiente;04:47:59
5253;Miranda Foster;SURICATOS-TANDEM ;04:48:03
3189;Jennifer Fields;Independiente;04:48:06
480;Beverly Campbell;Independiente;04:48:14
1004;Tamara Foster;CC FRAGA ;04:48:14
3963;Samantha Young;LA BASCULA ;04:48:18
582;Stacey Coleman;Independiente;04:48:26
1950;Maria Ross;Club ciclista Barbastro;04:48:28
4238;Amy Lopez;Independiente;04:48:29
194;Michael Willis;Cantonet ;04:48:30
4694;Sarah Fitzgerald;Independiente;04:48:34
415;Benjamin Mason;UCSC ;04:48:42
949;Ryan Bennett;Club Ciclista Leciñena ;04:48:45
1024;John Woods;A Fogatina ;04:48:45
5448;Sarah Allen;Independiente;04:48:49
1839;Lisa White;UCT;04:48:50
4414;Sean Robinson;Independiente;04:48:52
1019;Thomas Burns;CC Oscense ;04:48:57
1032;Kayla Phillips;Independiente;04:48:58
2070;Barbara Lee;Tri+ Moralzarzal ;04:49:04
3200;Jacqueline Cochran;Independiente;04:49:04
1835;Shannon Murray;Independiente;04:49:08
1739;Tracey Higgins;Independiente;04:49:08
746;Michael Ferguson;MTB LOS LOBOS ZARAGOZA ;04:49:10
889;Amber Robinson;Independiente;04:49:14
1026;Rachel Johnson;Independiente;04:49:15
191;Joseph Mcdonald;MC Feet Bike Team;04:49:15
1813;Jessica Mitchell;Mortimer ;04:49:15
641;Brian Stephens;RUNNERS PREIXANA ;04:49:18
1773;Tony Anderson;Independiente;04:49:19
3757;Dr. Heather Williams;Independiente;04:49:22
5294;Jeffrey Taylor;Independiente;04:49:23
404;Destiny Schmidt;CLUB ciclista oscense;04:49:27
3037;Bradley Morales;CLUB Vulpes;04:49:28
2290;Emily Reed;Independiente;04:49:34
3150;Raymond Mccall;Dominreiders ;04:49:34
2049;Joseph Bradley;Club ciclista Ger;04:49:41
4441;Derek Cantu;Peña Guara ;04:49:41
4072;Sandra Walton;Independiente;04:49:45
3958;Susan Bryant;Independiente;04:49:47
3850;Jamie Young;Rioja triatlon ;04:49:48
3820;Michael Escobar;C.C. Escatron;04:49:48
3959;Natalie White;Independiente;04:49:52
5462;Jennifer Nguyen;ZARAUZKO ZIKLOTURISTA ELKARTEA ;04:50:01
1576;Joseph Jacobs;Independiente;04:50:07
5479;William Perez;raisan ;04:50:12
2751;Michael Hall;Independiente;04:50:22
2752;Daniel Miller;Independiente;04:50:23
3828;Jamie Foster;Almacelles pedal club;04:50:31
3995;Erin Wallace;El Bicho Bicicletas C.D. ;04:50:38
434;Terry Padilla;Open Natura;04:50:38
4063;Alexandra Lopez;Independiente;04:50:40
1206;Kevin Stephens;Independiente;04:50:42
2047;Mary Patterson;Independiente;04:50:50
2040;Andrew Duke;Independiente;04:50:51
1828;Cameron Choi;Cicles fandos;04:50:53
3869;Kimberly Lawson;Independiente;04:50:54
932;Joshua Osborn;Independiente;04:50:55
1050;Jeffrey Bond;Independiente;04:50:56
4316;Travis Diaz;Independiente;04:51:03
3856;Linda Norton;Independiente;04:51:09
3857;Andrew Fisher;Cc la marca;04:51:09
1432;Laura Collier;Grañen ;04:51:12
4034;Angela Soto;Independiente;04:51:12
5002;Yolanda Taylor;Peña Guara ;04:51:14
4351;David Todd;MEGABICI ;04:51:15
5224;Cathy Campbell;SASIORDEKA K.E.;04:51:20
643;Jonathan Lyons;Independiente;04:51:22
4409;Heather Gibbs;Independiente;04:51:22
3640;Catherine Wilson;Independiente;04:51:27
1815;Natalie Schmidt;Independiente;04:51:29
1249;Tyler Madden;Castro BTT ;04:51:30
3849;Yolanda Johnson;Independiente;04:51:32
2300;Sabrina Williams;EC BAIX CAMP ;04:51:37
2609;Renee Edwards;Independiente;04:51:43
4250;Ashley Reed;Independiente;04:51:46
3125;Elizabeth Blake;Ondalan;04:51:48
4327;Michael Hendrix;Independiente;04:51:48
791;Catherine Brown;Independiente;04:51:57
25;Brittany Johnson;Aizkolari;04:51:57
4245;Kelly Cannon;Independiente;04:51:59
29;Deborah Paul;Independiente;04:52:00
2556;Nicholas Lopez;Amaikak Bat;04:52:01
3902;Dr. Jessica Vasquez;Independiente;04:52:14
30;Ana Rios;Garraiko triatloi taldea ;04:52:14
1672;Bryan French;Independiente;04:52:16
3120;Alexis Alexander;Independiente;04:52:16
3881;Kaitlin Hensley;Independiente;04:52:17
2261;Dana Willis;Independiente;04:52:22
1059;Jeanette Bates;Monval ;04:52:33
1544;Reginald Barnett;Independiente;04:52:35
2712;Victoria Hodge;Independiente;04:52:36
289;Natalie Garner;UCSC ;04:52:38
3860;Laurie Harrison;elorrioko txirrindulari elkartea ;04:52:38
815;Susan Fischer;CLUB CICLISTA UTEBO;04:52:40
2157;Paul Clark;Independiente;04:52:45
3922;Sabrina Morgan;Mendibike;04:52:47
1678;Scott Cook;C.C DOMINRIDERS MOZARRIFAR ;04:52:48
4326;Lindsey Bradley;Independiente;04:52:54
679;Jacob Trujillo;Independiente;04:52:55
847;Monica Walton;C.C. ALEN BIKE ;04:52:56
431;Gina Pacheco;Independiente;04:52:58
3862;Amanda Thomas;Independiente;04:52:58
760;Carol Sims;Independiente;04:52:58
644;John Montoya;Independiente;04:53:00
3983;Molly Wood;Independiente;04:53:19
192;Lori Krueger;Independiente;04:53:23
4334;Taylor Miller;CCCP ;04:53:26
23;Anthony Carter;Independiente;04:53:32
3918;Christian Bell;Independiente;04:53:46
5204;Walter Carroll;Independiente;04:53:51
5170;Anita Jackson;Independiente;04:53:52
587;Amanda Smith;Club Ciclista Montbrió del Camp;04:53:55
4403;Kathleen Adams;Independiente;04:53:56
5377;Martha Lee;Independiente;04:53:57
124;Jesse Acosta;Independiente;04:54:02
3928;Jonathan Rivera;Independiente;04:54:10
1729;Austin Stewart;Independiente;04:54:21
4348;Nicholas Allen;Independiente;04:54:29
1914;Alyssa Wilson;Katalino btt ;04:54:30
2352;Ryan Wright;Independiente;04:54:30
952;Fernando Hall;Independiente;04:54:39
5213;Michael Knight;Independiente;04:54:40
4119;Larry Salazar;Independiente;04:54:41
4118;Mary Hill;CAP MONTERESMA ;04:54:41
2716;Jerome Singleton;Independiente;04:54:43
2058;Leslie Maxwell;Ermuko txirrindulari ;04:54:52
2560;Ricky Wilson;Club Ciclista Oscense;04:54:57
1447;Brandy Williams;Club Ciclista Sariñena ;04:55:00
3294;Melissa Martin;CC ACTUR ;04:55:01
2719;Kimberly Miller;Independiente;04:55:02
4310;Mr. Michael Wilson;Independiente;04:55:07
3686;Emily Villanueva;Independiente;04:55:07
2311;Ashley Crawford;Independiente;04:55:07
562;Billy Hernandez;Independiente;04:55:09
1139;Mrs. Emily Reilly;CC MTB COLEGAS DE ET ;04:55:11
1574;Heather Brown;CC MTB LOS COLEGAS DE ET ;04:55:11
984;Stephen Clark;Independiente;04:55:11
4693;Douglas Dunn;Independiente;04:55:23
3827;Evan Thompson;Independiente;04:55:28
3826;Mark Harris;Independiente;04:55:28
1868;Amanda Foster;CLUB ciclista el bicho ;04:55:31
880;Nicole Washington;Independiente;04:55:31
1883;Christopher Arellano;CLUB CICLISTA EL BICHO ;04:55:31
22;Maria Scott;Independiente;04:55:41
3883;Kristin Smith;Alcalá de Henares Cycling Culture;04:55:42
4243;Debra Marshall;Independiente;04:55:42
571;Joshua Morris;Independiente;04:55:54
3693;Leslie Bernard;ucsc ;04:55:56
3366;Brittany Elliott;Independiente;04:55:58
1181;Eric Reed;CLUB ciclista Tàrrega;04:56:00
1160;Stephen Thompson;CLUB ciclista Tàrrega;04:56:00
3894;John Valencia;Bici Muntanya El Papiol;04:56:01
1515;Stephanie George;CLUB CICLISTA VELEÑO ;04:56:02
1514;Megan Miller;CLUB CICLISTA VELEÑO ;04:56:04
974;Joseph Butler;Independiente;04:56:07
3409;Hector Wilson;Independiente;04:56:11
4110;Alex Kelly;CNMataro ;04:56:13
1197;Rebecca Rivas;Independiente;04:56:15
1048;David Richardson;Independiente;04:56:23
3386;Jonathan Rowland;Independiente;04:56:30
4380;Douglas Torres;Independiente;04:56:38
4377;Lisa Hodge;Independiente;04:56:38
3146;Bobby Villa;BTT BASF Castellbisbal ;04:56:40
100;Dennis Henry;Independiente;04:56:42
634;Candice Davis;Cumbrales;04:56:44
48;Thomas Martinez;ESCAPA ;04:56:48
4845;Ms. Dana Rivera MD;Independiente;04:56:50
2282;Scott Morris;deportes balaguer;04:56:51
727;Jacob Henry MD;Independiente;04:56:57
1701;Joshua Rice;CLUB CICLISTA EDELWEISS;04:56:57
1932;Kimberly Adkins;club ciclista edelweis ;04:56:57
4122;Brian Nunez;Independiente;04:57:16
3980;Sheryl Williams;Independiente;04:57:20
4148;Phillip Obrien;Independiente;04:57:21
5230;Stephanie Lee;Independiente;04:57:26
1774;Edward Kline;Independiente;04:57:32
2733;John Buchanan;Independiente;04:57:34
2015;Tasha Stokes;Independiente;04:57:45
1056;Matthew Franklin;ERMUKO TXIRRINDUALRI ELKARTEA;04:57:50
4031;Katelyn Sparks;Independiente;04:57:52
4649;Brittany Thomas;Ariz T.E.;04:57:54
4651;Matthew Munoz;Ariz T.E.;04:57:56
2797;Nancy Briggs;Independiente;04:58:02
2736;Christine Lee;Independiente;04:58:02
1970;Joshua Lewis;CCACTUR;04:58:07
378;Kevin Boyle;Independiente;04:58:07
1905;Jessica Lynch;CLUB BTT MONTBIKE;04:58:12
2576;Tyler Marsh;Independiente;04:58:13
1217;Joseph Nelson;Independiente;04:58:14
1865;Timothy Robinson;Independiente;04:58:16
4244;Jimmy Duncan;Independiente;04:58:30
848;Melvin Carter;Independiente;04:58:31
468;Jean Smith;Independiente;04:58:33
2124;John Beck;Independiente;04:58:34
4172;Tonya Rose;C.C Sant Celoni;04:58:36
1219;Lisa Robertson;CLUB triatlón Oviedo ;04:58:41
5200;Adam Johnson;Independiente;04:58:43
4219;Devin Kelly;ARIZ MENDIKLETA;04:58:43
3887;Breanna Edwards;Independiente;04:58:43
2852;Brenda Townsend;CLUB ciclista palafolls;04:58:44
1090;Bryan Munoz;Independiente;04:58:55
739;Steven Davis;Independiente;04:59:04
4132;Tara Garcia;Independiente;04:59:08
4133;Alex Odom;Independiente;04:59:08
2646;Julie Allen;Independiente;04:59:09
3957;Kristy Klein;Paquetes de Arroyomolinos;04:59:14
3134;Jennifer Wright;Independiente;04:59:14
2691;Larry Martinez;Independiente;04:59:34
2477;Joshua Richardson;C.C. EL TORICO ;04:59:34
2690;Jacob Castillo;Independiente;04:59:34
2429;Patricia Garza;Btt Zaragoza CC;04:59:36
734;Stephen Long;Independiente;04:59:36
3965;Ashley Vaughn;A340kA Alfajarin ;04:59:37
735;Daniel Pham;Ermuko ;04:59:37
1173;Timothy Brady;Independiente;04:59:39
5163;Joshua Leonard;Independiente;04:59:39
5255;Douglas Meza;SURICATOS-TANDEM ;04:59:40
4045;Suzanne Payne;Independiente;04:59:41
3201;Jessica Jones;Independiente;04:59:44
120;Patricia Henson;Independiente;04:59:48
749;Michael Anderson;Independiente;05:00:01
805;Michael Brown;Independiente;05:00:06
2198;Kelly Lopez;Independiente;05:00:09
1146;Ronald Lee;Independiente;05:00:13
5014;Kayla Hall;Independiente;05:00:16
3032;Devin Nelson;Independiente;05:00:20
3954;Andrea Schmidt;Paquetes de Arroyomolinos;05:00:21
503;Marc Burns;Independiente;05:00:22
3748;Timothy Ray;C.C. Santa Isabel;05:00:23
2417;Mrs. Carrie Lee;Independiente;05:00:29
1648;Michele Pierce;Independiente;05:00:31
2778;Brian Rodriguez;Independiente;05:00:33
1652;Jonathan Henderson;Independiente;05:00:34
2166;Barbara Woods;Independiente;05:00:37
3896;Sandra Mccarty;Independiente;05:00:39
2834;Michelle Cook;Independiente;05:00:40
2246;Paula Dixon;Independiente;05:00:40
944;Philip Wright;Independiente;05:00:44
1738;Michael Ayala;Independiente;05:00:53
1532;Karen Simmons;Independiente;05:00:58
4702;Michael Sanders;Independiente;05:01:05
1553;Lisa Strickland;Independiente;05:01:06
5395;Matthew Houston;Independiente;05:01:18
2842;Christopher Hill;Independiente;05:01:24
1412;John Baker;Independiente;05:01:27
265;Andrew Martin;Independiente;05:01:28
4214;Michelle Huerta;Black Pata ;05:01:31
4041;Christopher Farley;Independiente;05:01:34
4047;Mr. Brent Sloan;Independiente;05:01:35
3553;Jessica Aguirre;Independiente;05:01:40
2219;Jessica Frye;Independiente;05:01:42
1198;Jay May;C.c.caspolino;05:01:45
1148;Laura Stanley;PLANIFICAT C.T.;05:01:46
5215;Angela Miller;Independiente;05:01:51
5214;Christopher Romero;Independiente;05:01:53
3622;Stacy Williams;Independiente;05:01:56
205;Diane Davies;Independiente;05:01:57
441;Tammy Pham;Independiente;05:01:57
1433;Ashley Porter;Independiente;05:01:58
156;Johnny Snyder;Team Yurrebaso ;05:01:58
4302;Charles Paul;Independiente;05:02:06
935;Richard Kelley;Independiente;05:02:12
937;Jason Arias;Independiente;05:02:13
958;Andrea Gordon;Independiente;05:02:15
1651;Charles Nelson;Bici-ats Terra Alta;05:02:15
398;Brittany Wyatt;CAMINANDO CON AITANA ;05:02:17
4167;Joseph Marshall;Independiente;05:02:17
2503;Diana Owens;Independiente;05:02:18
3185;Martin Cordova;Independiente;05:02:19
2326;Ryan Lewis;Independiente;05:02:23
1907;Chelsea Martinez;Independiente;05:02:23
2126;Heather Mcfarland;Independiente;05:02:24
591;Damon Livingston;Independiente;05:02:26
409;Steven Norton;Independiente;05:02:27
676;Antonio Cruz;CEGUB;05:02:29
153;Mark Johnston;Independiente;05:02:30
161;Nicholas Arroyo;Independiente;05:02:31
2688;Karla Ortega;Independiente;05:02:34
988;Colin Rodriguez;Independiente;05:02:36
1111;Christopher Wilkinson;Independiente;05:02:37
328;John Johnson;Independiente;05:02:39
1880;Emily Gill;Eastern Watts;05:02:39
2558;Anne Frazier;Ermuko Txirrindulari Taldea;05:02:40
2502;Scott Klein;Ermuko txirrindularia Elkartea ;05:02:41
3835;Joshua Watson;ZESTOAKO GURUTZEAGA TXIRRINDULARITZA KLUBA ;05:02:44
1956;Claudia Rogers;Basahuntzak TKT Etxebarri;05:02:46
783;Tammy Johnson;Independiente;05:02:47
3987;Tyler Lee;Basahuntzak;05:02:48
2262;Wesley Pennington;Independiente;05:02:50
1220;Joshua Martin;CLUB ciclista cayón;05:02:50
1554;Patrick Armstrong;Independiente;05:02:52
2324;Danielle Bean;Independiente;05:02:55
2353;Keith Oliver;Independiente;05:02:57
1605;Steven Young;CLUB Ciclista Graus;05:02:57
2437;Kelly Mack;Independiente;05:02:58
3426;Jill Stevens;CCACTUR;05:02:58
1837;Julie Yates;Independiente;05:03:05
2767;Michelle Brown;CASTELLOIZ Factory Team;05:03:05
1703;William Ford;Independiente;05:03:05
1832;Lisa Larson;Independiente;05:03:05
3813;Angelica Christensen;Independiente;05:03:10
2582;Nancy Smith;Independiente;05:03:12
5414;Nathan Gordon;Independiente;05:03:14
502;Jeffrey Blackwell;Independiente;05:03:16
5159;Jim Mcneil;Independiente;05:03:21
608;William Jackson;CLUB ciclista Ascó ;05:03:27
556;Steven Cherry;Adc valle de benasque;05:03:32
1200;Derrick Gilbert;Independiente;05:03:36
1543;Sheila Johnson;Independiente;05:03:38
1473;Larry Mosley;Club ciclista Grañén ;05:03:39
5341;Tiffany Hughes;Independiente;05:03:45
5553;Rhonda Smith;Independiente;05:03:52
5547;Brandon Ward;C.C. Hijar ;05:03:52
5483;Jaclyn Delgado;CP20 ;05:03:55
1801;Maria Gray;Independiente;05:03:58
1783;Sandra Sutton;Independiente;05:04:00
118;Herbert Newman;Independiente;05:04:00
5199;Kaitlyn Lawrence;A.D.HUECHA ;05:04:09
2826;John Smith;Independiente;05:04:09
766;Barbara Daniels;CC CANTONET;05:04:10
2414;Derrick Mcintosh;Independiente;05:04:12
2848;Claudia Scott;Independiente;05:04:13
971;Erin Sims;Independiente;05:04:16
3766;Kimberly Gilbert;Independiente;05:04:18
969;Jennifer Richards;Independiente;05:04:18
2180;Courtney Martin;Independiente;05:04:19
2128;Robin Chambers;Independiente;05:04:20
1805;Alexandra Bell;Independiente;05:04:23
1263;Bryan Grant;Independiente;05:04:31
995;Amy Brown;IBT;05:04:31
4610;Deanna Sherman;CLUB deportivo Liebana ;05:04:33
4609;Ashley Mack;Independiente;05:04:34
3623;Jennifer Coleman MD;Independiente;05:04:38
5478;Cody Mcclure;Independiente;05:04:38
59;Larry Fischer;Club Social Cheyenne ;05:04:50
1972;Patrick Hernandez;Independiente;05:04:52
831;Holly Martin;Independiente;05:04:54
2095;Daisy Norman;Independiente;05:05:13
2515;Brian Ballard;Independiente;05:05:14
2542;John Andersen;Ccirunes ;05:05:18
164;Michelle Sharp;Independiente;05:05:22
2044;Angela Cox;Independiente;05:05:24
2046;Kevin Kelly;Independiente;05:05:24
769;Teresa Gregory;Peña Ciclista Sendero;05:05:30
781;Ryan Jackson;Peña Ciclista Sendero;05:05:33
2726;Robert Hall;Independiente;05:05:36
3917;Joshua Gregory;Paquetazos ;05:05:39
1114;Donna Bond;Independiente;05:05:44
